NO	CPA1	CPA2	CPA3	CPA4	RA1	RA2	RA3	RA4	RA5	CPL1	CPL2	CPL3	TRI1	TRI2	TRI3	OBS1	OBS2	OBS3	ATT1	ATT2	ATT3	INT1	INT2	INT3	INT4	SEX	AGE	EDUC	INCOME	STATUS
70	Neutral	Neutral	Neutral	Neutral	Neutral	More or less disagree	Neutral	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	Neutral	Neutral	Disagree	Neutral	Agree	Male	19-22 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
71	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less disagree	Agree	More or less disagree	More or less disagree	More or less disagree	Agree	Neutral	Neutral	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
72	More or less agree	More or less agree	More or less agree	Neutral	More or less disagree	Disagree	Disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	Neutral	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
73	More or less agree	More or less agree	More or less disagree	More or less agree	Agree	Agree	Agree	Neutral	Agree	Neutral	Neutral	More or less disagree	Agree	Agree	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Agree	Agree	More or less agree	More or less agree	Agree	More or less agree	Male	19-22 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
74	Neutral	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less agree	Female	23-25 years old	Professional certificate	< 10,000,000 VND	Single
75	More or less agree	More or less agree	More or less agree	Neutral	Agree	More or less agree	Neutral	Neutral	More or less agree	More or less disagree	Neutral	More or less disagree	More or less agree	More or less agree	More or less agree	Agree	Agree	Agree	More or less agree	Agree	More or less agree	Neutral	More or less agree	Neutral	More or less agree	Female	19-22 years old	University undergraduate degree	10,000,000 VND - 20,000,000 VND	Single
76	More or less agree	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	More or less agree	Neutral	More or less agree	Neutral	Neutral	More or less agree	Neutral	Neutral	More or less agree	More or less agree	Male	23-25 years old	University undergraduate degree	< 10,000,000 VND	Single
77	More or less disagree	More or less disagree	Neutral	Neutral	Neutral	More or less disagree	Neutral	Neutral	More or less agree	More or less disagree	Neutral	Neutral	Agree	Agree	Agree	Neutral	Neutral	More or less agree	Disagree	Neutral	Disagree	Neutral	More or less disagree	More or less disagree	More or less disagree	Female	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
78	Neutral	Neutral	More or less agree	More or less agree	Neutral	More or less agree	Neutral	Neutral	Neutral	Disagree	More or less disagree	Disagree	More or less disagree	Neutral	More or less disagree	Neutral	More or less agree	More or less agree	Neutral	More or less disagree	Neutral	Neutral	Neutral	Neutral	Neutral	Female	19-22 years old	College diploma	< 10,000,000 VND	Single
79	More or less agree	Agree	More or less agree	More or less agree	Agree	More or less agree	More or less agree	More or less agree	More or less agree	More or less disagree	More or less disagree	More or less disagree	More or less agree	More or less agree	More or less agree	Neutral	Neutral	More or less agree	More or less agree	More or less agree	More or less agree	Neutral	More or less agree	More or less agree	Neutral	Male	23-25 years old	University undergraduate degree	20,000,000 VND – 30,000,000 VND	Single
